,Title,Rating,Link,Image,Size,Occasion,color,Rate
0,dresstells women's formal dresses cocktail tea party dress 2024 ruffle v-neck modest wedding guest bridesmaid dress,50.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MzYyMzEwMDc5OTAwNzM6MTcxMDQyNTMyNDpzcF9hdGY6MzAwMTQ2MDgxMTY1MzAyOjowOjo&url=%2FDRESSTELLS-Cocktail-Dresses-Bridesmaid-Greyblue%2Fdp%2FB0CQRGL8L8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26qid%3D1710425324%26s%3Dapparel%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61tcI69u-CL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3480
1,"dresstells dress with chiffon overlay cape, 2023 mother of the bride cocktail wedding guest dress",1002.0,https://www.amazon.com/DRESSTELLS-Dresses-Wedding-Chiffon-Sleeveless/dp/B0B5GS3LF7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-2,https://m.media-amazon.com/images/I/61kTmUZqYWL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3728
2,blencot womens casual short sleeve boho floral printed v neck long dress ruched cocktail party maxi wedding dresses,1011.0,https://www.amazon.com/BLENCOT-Printed-Evening-Cocktail-Wedding/dp/B0C2BW6CWF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-3,https://m.media-amazon.com/images/I/61IVgEOpuBL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4060
3,hanna nikole women's plus size chiffon ruffle flattering cape sleeve bodycon pencil dress,7896.0,https://www.amazon.com/Hanna-Nikole-Chiffon-Popover-Dresses/dp/B0B1F2J13M/ref=sr_1_4?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-4,https://m.media-amazon.com/images/I/51AKCj7rPkL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3811
4,dresstells women's formal dresses cocktail tea party dress 2024 ruffle v-neck modest wedding guest bridesmaid dress,50.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjUwNzU3NzgxMjcxMDczOjE3MTA0MjUzMjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0NjA4MTE2NTMwMjo6MDo6&url=%2FDRESSTELLS-Cocktail-Dresses-Bridesmaid-Greyblue%2Fdp%2FB0CQRGL8L8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%253Aamzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%26cv_ct_cx%3Dtamil%2Bwedding%2Bdress%26dib%3DeyJ2IjoiMSJ9.P3LtXXwjFL1_FoimiIYL8dLweLZRsXkgo96pJG1ZAgZKsBiTpNVdIOjaIK2oHmDe.YXFE1aeBBLdUhjky0Ay2rYkaq6OurBtzyzbZ7gCQKi8%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26pd_rd_i%3DB0CQRGL8L8%26pd_rd_r%3D353b77f6-e54c-44b0-ae91-5b2c83d18096%26pd_rd_w%3DX2HnS%26pd_rd_wg%3DBPiNF%26pf_rd_p%3Dd4fdc453-1595-4f7b-ba6a-eb2ac554591f%26pf_rd_r%3D62GMHP64XR93TRBG3HR5%26qid%3D1710425324%26s%3Dapparel%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61tcI69u-CL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3480
5,dresstells women's formal dresses cocktail tea party dress 2024 ruffle v-neck modest wedding guest bridesmaid dress,50.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjUwNzU3NzgxMjcxMDczOjE3MTA0MjUzMjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0NjA4MTE2NTMwMjo6MDo6&url=%2FDRESSTELLS-Cocktail-Dresses-Bridesmaid-Greyblue%2Fdp%2FB0CQRGL8L8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%253Aamzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%26cv_ct_cx%3Dtamil%2Bwedding%2Bdress%26dib%3DeyJ2IjoiMSJ9.P3LtXXwjFL1_FoimiIYL8dLweLZRsXkgo96pJG1ZAgZKsBiTpNVdIOjaIK2oHmDe.YXFE1aeBBLdUhjky0Ay2rYkaq6OurBtzyzbZ7gCQKi8%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26pd_rd_i%3DB0CQRGL8L8%26pd_rd_r%3D353b77f6-e54c-44b0-ae91-5b2c83d18096%26pd_rd_w%3DX2HnS%26pd_rd_wg%3DBPiNF%26pf_rd_p%3Dd4fdc453-1595-4f7b-ba6a-eb2ac554591f%26pf_rd_r%3D62GMHP64XR93TRBG3HR5%26qid%3D1710425324%26s%3Dapparel%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61tcI69u-CL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3480
6,hanna nikole women's plus size chiffon ruffle flattering cape sleeve bodycon pencil dress,7896.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjUwNzU3NzgxMjcxMDczOjE3MTA0MjUzMjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwNzM4NjAzNTcwMjo6MTo6&url=%2FHanna-Nikole-Sparkly-Glitter-Cocktail%2Fdp%2FB0CBMX9141%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%253Aamzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%26cv_ct_cx%3Dtamil%2Bwedding%2Bdress%26dib%3DeyJ2IjoiMSJ9.P3LtXXwjFL1_FoimiIYL8dLweLZRsXkgo96pJG1ZAgZKsBiTpNVdIOjaIK2oHmDe.YXFE1aeBBLdUhjky0Ay2rYkaq6OurBtzyzbZ7gCQKi8%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26pd_rd_i%3DB0CBMX9141%26pd_rd_r%3D353b77f6-e54c-44b0-ae91-5b2c83d18096%26pd_rd_w%3DX2HnS%26pd_rd_wg%3DBPiNF%26pf_rd_p%3Dd4fdc453-1595-4f7b-ba6a-eb2ac554591f%26pf_rd_r%3D62GMHP64XR93TRBG3HR5%26qid%3D1710425324%26s%3Dapparel%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61EmfWkR24L._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4226
7,sidefeel womens 2024 summer sexy ribbed bodycon tank dresses basic v neck sleeveless knit club mini dress,684.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjUwNzU3NzgxMjcxMDczOjE3MTA0MjUzMjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDE0MjU3NTExOTc5ODo6Mjo6&url=%2FSidefeel-Dresses-Sleeveless-Bodycon-X-Large%2Fdp%2FB0BY25SK28%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%253Aamzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%26cv_ct_cx%3Dtamil%2Bwedding%2Bdress%26dib%3DeyJ2IjoiMSJ9.P3LtXXwjFL1_FoimiIYL8dLweLZRsXkgo96pJG1ZAgZKsBiTpNVdIOjaIK2oHmDe.YXFE1aeBBLdUhjky0Ay2rYkaq6OurBtzyzbZ7gCQKi8%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26pd_rd_i%3DB0BY25SK28%26pd_rd_r%3D353b77f6-e54c-44b0-ae91-5b2c83d18096%26pd_rd_w%3DX2HnS%26pd_rd_wg%3DBPiNF%26pf_rd_p%3Dd4fdc453-1595-4f7b-ba6a-eb2ac554591f%26pf_rd_r%3D62GMHP64XR93TRBG3HR5%26qid%3D1710425324%26s%3Dapparel%26sbo%3DTc8eqSFhUl4VwMzbE4fw%252Fw%253D%253D%26sr%3D1-3-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/714-Da8FChL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,2403
8,prettygarden women's one shoulder ruched bodycon dress 2024 summer cutout slit wrap party cocktail midi dresses,1969.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjUwNzU3NzgxMjcxMDczOjE3MTA0MjUzMjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDEyMTU5MDgxMTc5ODo6Mzo6&url=%2FPRETTYGARDEN-Shoulder-Bodycon-Cocktail-Dresses%2Fdp%2FB0BPL46PDS%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%253Aamzn1.sym.d4fdc453-1595-4f7b-ba6a-eb2ac554591f%26cv_ct_cx%3Dtamil%2Bwedding%2Bdress%26dib%3DeyJ2IjoiMSJ9.P3LtXXwjFL1_FoimiIYL8dLweLZRsXkgo96pJG1ZAgZKsBiTpNVdIOjaIK2oHmDe.YXFE1aeBBLdUhjky0Ay2rYkaq6OurBtzyzbZ7gCQKi8%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26pd_rd_i%3DB0BPL46PDS%26pd_rd_r%3D353b77f6-e54c-44b0-ae91-5b2c83d18096%26pd_rd_w%3DX2HnS%26pd_rd_wg%3DBPiNF%26pf_rd_p%3Dd4fdc453-1595-4f7b-ba6a-eb2ac554591f%26pf_rd_r%3D62GMHP64XR93TRBG3HR5%26qid%3D1710425324%26s%3Dapparel%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61UyrpAENXL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4391
9,miusol women's retro floral lace short sleeves cocktail party formal dress,192.0,https://www.amazon.com/Miusol-Womens-Floral-Sleeves-Cocktail/dp/B09PDD3MVQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-5,https://m.media-amazon.com/images/I/71gsgaa3m3L._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4391
